Row,Column,Text,Entity,Label
0,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL NOW OKAY,REPLACED,FIXED CONDITION 1
0,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL NOW OKAY,STEERING WHEEL,FIXED COMPONENT 1
0,CUSTOMER_VERBATIM,STEERING WHEEL COMING APART,STEERING WHEEL,FAILURE COMPONENT 1
0,CUSTOMER_VERBATIM,STEERING WHEEL COMING APART,COMING APART,FAILURE  CONDITION 1
1,CORRECTION_VERBATIM,"CHECKED - FOUND DTC'S U0229 - U1530 SET IN BCM. FOUND PIP5883J, VERIFI ED RPO OPTIONS. TESTED PER SI - WAS INCONCLUSIVE.TESTEDPERWIRING SC HEMATIC - ALL CIRCUITS TESTED OK. LOOKS LIKE FAULTY HEATED S-W MODULE. ORDERED NEW MODULE 9-26-23.1-2, REPLACEDDHEATED S-W MODULE.",S-W MODULE,FIXED COMPONENT 1
1,CUSTOMER_VERBATIM,CUSTOMER STATES HEATED STEERING WHEEL INOP,HEATED,FAILURE  CONDITION 1
1,CUSTOMER_VERBATIM,CUSTOMER STATES HEATED STEERING WHEEL INOP,STEERING WHEEL,FAILURE  CONDITION 1
4,CORRECTION_VERBATIM,REPLACEDD STEERING MESSAGE NO LONGER DISPLAYED,REPLACED,FIXED CONDITION 1
4,CORRECTION_VERBATIM,REPLACEDD STEERING MESSAGE NO LONGER DISPLAYED,STEERING,FIXED COMPONENT 1
4,CUSTOMER_VERBATIM,C/S: CUSTOMER STATES THE SERVICE DRIVER ASSIST SYSTEM MESSAGE IS ON. A DVISE,DRIVER ASSIST SYSTEM,FAILURE COMPONENT 1
4,CUSTOMER_VERBATIM,C/S: CUSTOMER STATES THE SERVICE DRIVER ASSIST SYSTEM MESSAGE IS ON. A DVISE,ON,FAILURE  CONDITION 1
5,CORRECTION_VERBATIM,REMOVED AND REPLACED STEERING WHEEL WIRE HARNESS,REMOVED,FIXED CONDITION 1
5,CORRECTION_VERBATIM,REMOVED AND REPLACED STEERING WHEEL WIRE HARNESS,REPLACED,FIXED CONDITION 1
5,CORRECTION_VERBATIM,REMOVED AND REPLACED STEERING WHEEL WIRE HARNESS,STEERING WHEEL,FIXED COMPONENT 1
